screen_name,text,name,listed_count
LoveMusicEMag,RT @SNFonNBC: .@ShaunWhite has been waiting for redemption for four years. Here’s the #WinterOlympics #SuperBowl ad you saw on NBC! #BestOf…,Love Music eMag®,14
iTortureYou,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",A T N  ツ,3
cristiller,"RT @SBNation: 🥇3 days: Winter Olympics
🏀55 days: Women's NCAA tourney final
🏀56 days: Men's NCAA tourney final
⛳️59 days: Masters
💪62 days:…",Cris Tiller,35
zatheteacher,"20 years later, a look back at the thrills and spills of the 1998 Winter Olympics https://t.co/UAZ42wR9S9",Zafar Ali,77
JakeDWerm,@DanBarreiroKFAN Floor to ceiling Winter Olympics coverage please...until the @Twins win the Darvish sweepstakes. T… https://t.co/r2HNeKQSeP,the werm,2
YourGACountry,2018 Winter Olympics: Who is John Henry Krueger? https://t.co/XWeYoupJXj,Your Georgia Country,10
Clandestin101,RT @mashable: A look back at the thrills and spills of the 1998 Winter Olympics https://t.co/KUJmDMA9rq https://t.co/4yyB9vUq5h,Pierre LOPPY,47
CourtneyFiorini,"RT @SBNation: 🥇3 days: Winter Olympics
🏀55 days: Women's NCAA tourney final
🏀56 days: Men's NCAA tourney final
⛳️59 days: Masters
💪62 days:…",Courtney Fiorini,42
Hierkaufich,"20 years later, a look back at the thrills and spills of the 1998 Winter Olympics https://t.co/qfzIIMQnbJ",🇩🇪 Hierkaufichein,527
Redlizzy1,Winter Olympics - 5th Feb https://t.co/tju44UGR4g,Elizabeth V,25
Bushie_40,Well...Gonna go for some wins in the new skin.  Almost wish we had a snow map to go along with the winter olympics.  Live Now!,Bushie_40,1
Al__S,This thread will be good. More than most sporting events the winter Olympics are rooted in the Alps and Scandinavia… https://t.co/8zsjSzksIh,Al,88
jung___kookieee,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",A,0
FabienMalbet,"RT @ISFsports: Before @pyeongchang2018, @VilledeGrenoble will relive the 1968 @Olympics &amp; host #ISFwintergames, one of the events taking pl…",Fabien Malbet,188
Ap05398561,RT @EmbassyofRussia: Russian MFA Spokesperson #Zakharova: IOC has refused to allow 15 Russian athletes coaches to participate in the 2018 W…,Ap AKA Анжелика 8,0
micdropbwii,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",🐯타고야기🐨,3
harriscsmith,RT @Adam_Cesare: Rumor: DEATH WISH to be secretly released on Seeso directly following the Winter Olympics closing ceremonies.,dreamweapon,23
EritreaRT1,"RT @awet_nihafash: Shannon-Ogbani Abeda to represent #Eritrea at next  Winter Olympics in Pyeongchang, South Korea. 🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷#…",[Re]tweetEritrea,698
davefbarden,"RT @OWI_AUS: BBC Sport - Winter Olympics: Harley Windsor, the Indigenous Australian ice skater breaking barriers https://t.co/3ARYgbUFfs",David Barden,19
kaycee2nd,"RT @Star_NG: This is the Making of History! The Nigerian Bobsled and Skeleton team will represent Nigeria at the 2018 Winter Olympics!
A fi…",Kenechukwu,12
CAS1AN0,RT @CNNPolitics: US Vice President Pence heads to the #PyeongChang2018 Winter Olympics to throw shade on the North Korean “charade” https:/…,Angelo Casiano,24
TAMMYtaec,"RT @Taecyeon_Today: [INFO] Taecyeon’s schedule for the 2018 Pyeongchang Winter Olympics:

Feb 14: Feast of the world music show MC
Feb 15:…",Tammy  (토모코),4
awet_nihafash,"Shannon-Ogbani Abeda to represent #Eritrea at next  Winter Olympics in Pyeongchang, South Korea. 🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷… https://t.co/FIb3ZBf6ak",MESFIN  ERITREA,48
CentipedeLove,RT @KoreanUpdates: #EXO #Baekhyun &amp; #VIXX will be performing at IOC meeting session tonight prior to Pyeongchang Winter Olympics opening th…,🔥 team park-byun™️ ✨,0
juliezisman,"RT @dlynnesampson: With the Winter Olympics starting this week, now is a good time for finance teams to look at new ways to sharpen their c…",Julie Zisman,511
georgebaily,Security at this year's Olympics will include drones that catch other drones using nets https://t.co/a1OKawvpdJ (wh… https://t.co/mhHnLhTnR5,George Baily,117
AVKingJames,RT @alexnpress: can’t wait to devote myself to obsessively watching the winter olympics for no discernible reason,Juney,35
tokiedamasakazu,RT @hangorinnokai: 7 Reasons Why You Should Oppose the PyeongChang Winter Olympics https://t.co/L31Owuma70 It is our strong hope to build a…,時枝正和,11
zacrell_15,"RT @vkookbiasedd: ""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Coca-Cola and the representative artist we will be meeting…",Jimin's Yippee,1
tselsmark,"RT @Cat_Kapow: Sign PETITION More than 465,000 people have signed this #Petition against the barbaric #DogCatMeatTrade in #SouthKorea the l…",Tina Selsmark,63
AlchemistGira,"Winter Olympics soon
Coolio",Alchemist Gira,49
EMCLimited,"Frimpong set to make Winter Olympics history in Pyeongchang

https://t.co/3rwcMgsZ9B

Sent via @updayUK",EMC,49
Affutee,"RT @SBNation: 🥇3 days: Winter Olympics
🏀55 days: Women's NCAA tourney final
🏀56 days: Men's NCAA tourney final
⛳️59 days: Masters
💪62 days:…",Sinner 🎈,7
TTae21,"RT @ARMYIndonesiaa: Untuk Pyeongchang Winter Olympics 2018
Coca-Cola mengeluarkam advertisement video..
dan tulisan untuk BTS : 대한민국 비주얼 아티…",TaeTae21,0
iamvega1982,RT @Jambobsled: It is 30 years since a band of Jamaicans lit up the Winter Olympics by debunking cultural clichés and crashing at 90mph. No…,Gustavo Vega,192
blue_skx,"RT @crystalcyphers: [notice!]
we have four more days until the pyeongchang winter olympics! bangtan will start being really active most lik…",Peachy Sky 🌫,26
rajandelman,RT @alexnpress: can’t wait to devote myself to obsessively watching the winter olympics for no discernible reason,rachel andelman,52
yoshii_vip,RT @baobobaek: EXO will be the one to represent South Korea to the world. EXO represents South Korea for 2018 Pyeongchang Winter Olympics.…,Yehet･゜ﾟ･*~(＾∇＾),0
ahmad31789992,"RT @CGTNOfficial: South Korea bans 36,000 foreigners from entering for Winter Olympics. Follow us for more.",toha ahmad,0
SimonPearson16,RT @gaystarnews: Meet the #LGBT athletes competing at the #WinterOlympics 2018 https://t.co/cf4zVRiyOo https://t.co/uXB3ApYUBn,Simon Pearson,3
Krhammar,Winter Olympics - 5th Feb https://t.co/p7WKCqrWu2,KristofferHammargren,1
onqnielhwan,RT @KoreanUpdates: #EXO #Baekhyun &amp; #VIXX will be performing at IOC meeting session tonight prior to Pyeongchang Winter Olympics opening th…,FΔG,8
the_mantese,https://t.co/CfJzKHAIN5,Jose Jaimes,9
hali_wilkinson,I look forward to the winter olympics every year!!!😁 &amp; no I won't be texting ANYONE back when it's on🙅🏽 https://t.co/AB51MZYBCA,Hali Wilkinson,2
SocialINDetroit,[AHL: Griffins Hockey] - EIGHT FORMER GRIFFINS TO PARTICIPATE IN 2018 WINTER OLYMPICS https://t.co/aUU9Nl65Dx,Social In Detroit,698
nrlnabilahhh,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",Teudoongie💜,0
XxThaTankkxX,"RT @NFLRT: After winning Super Bowl MVP, Nick Foles has turned his attention towards the Winter Olympics https://t.co/PuMeceQnpH",Jacob Hanson,1
18dMedia,When Is The Winter Olympics Opening Ceremony? https://t.co/jtMqdMeTHG https://t.co/TxFBysfxb1,18d.Media,40
lakes1947,"RT @USParalympics: With #PyeongChang2018 just over one month away, Brenna Huckaby balances training AND being a mom. 💯

👉 https://t.co/Fwdq…",gloria figueroa,65
512JORGE,RT @intel: Don’t just cheer for your team–– cheer with them. VR is coming to the Olympic Winter Games. Get ready at https://t.co/bywo8DkxKz…,Jorge (George),14
Ase_Bye,"RT @H2Bjorn: It has been reported that for the 2022 Olympics, Zhangjiakou city has awarded contracts for 74 FCEV buses. Beiqi Foton Motor C…",Åse Bye,28
PirateParty808,"RT @yawnbox: INTEL STILL HAS NOT RELEASED MICROCODE UPDATES

GLAD THEIR FOURTH QTR EARNINGS, CORP OFFICER PROMOTIONS AND WINTER OLYMPICS AR…",Pirate Party☠️Weekly,1028
Miss_Shilan,Winter Olympics are coming! Love this idea of tying data tracking and the Olympics together! So many great ideas fo… https://t.co/2Utqy15057,Stephanie Shilan,0
alexnpress,can’t wait to devote myself to obsessively watching the winter olympics for no discernible reason,Alex Press,324
lakes1947,RT @TeamUSA: 🚨 3 DAYS! 🚨 Asia will host it’s 3rd #WinterOlympics in PyeongChang! ➡️ https://t.co/elsdPqwxGk https://t.co/pZai39YnUm,gloria figueroa,65
PostSports,The Winter Olympics start this week. Follow our @WashingtonPost reporters at the Games: https://t.co/53JqtzabYg,Post Sports,1241
aegyoahjussi,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",🌻 jhope month 🌼,2
CRGazetteSports,RT @rebeccafmiller: Last week I got to photograph figure skater Timothy LeDuc for a story about his Olympic aspirations and the message he…,CR Gazette Sports,81
ohiomary,RT @PBS: Ready for the 2018 Winter Olympics? Take @NewsHour's Olympic quiz to test your knowledge about the Winter Games! https://t.co/6ovg…,Mary Rack,1434
Cheri455,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",Cheri45,0
moniquedhooghe,RT @HaraldDoornbos: Nice. Afghan stamp from 1984 commemorating Sarajevo Winter Olympics. https://t.co/1pEASbKMqh,monique d'hooghe,245
stayminseok,RT @baobobaek: EXO will be the one to represent South Korea to the world. EXO represents South Korea for 2018 Pyeongchang Winter Olympics.…,ninety nine.,1
Cen21_Amarillo,4 days until Winter Olympics. https://t.co/edizibLtpz,Gary Papy,0
dotuncoker,"RT @Star_NG: Nigerian Bobsled Team will be participating at the Winter Olympics for the 1st Time Ever.
How much do you know about Bobsled?…",Dotun Adewoyin Coker,14
KarenCo55329777,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",Karen,3
RuddyReport,"RT @newsmax: Vice President Pence will focus on putting pressure on North Korea, with the father of Otto Warmbier at his side. 
https://t.c…",John Ruddy,23
RirinMiss,"RT @ARMYIndonesiaa: Untuk Pyeongchang Winter Olympics 2018
Coca-Cola mengeluarkam advertisement video..
dan tulisan untuk BTS : 대한민국 비주얼 아티…",Ririn,0
the_mantese,https://t.co/jEg7rdZQvd,Jose Jaimes,9
rosxzmarism4,RT @baobobaek: EXO will be the one to represent South Korea to the world. EXO represents South Korea for 2018 Pyeongchang Winter Olympics.…,Rosemarie Atienza ღ,5
DavonRobb,"7 schools represented, 8 countries, &amp; 45 extremely talented individuals. Good luck to those competing in the 2018 W… https://t.co/08YLYky0bV",Davon Robb,10
nataliadebora,RT @KoreanUpdates: #EXO #Baekhyun &amp; #VIXX will be performing at IOC meeting session tonight prior to Pyeongchang Winter Olympics opening th…,nate,9
RubenAlex97,"RT @NFLRT: After winning Super Bowl MVP, Nick Foles has turned his attention towards the Winter Olympics https://t.co/PuMeceQnpH",Alex,10
B985FM,2018 Winter Olympics: Who is Bradie Tennell? https://t.co/dGcG2OWWDX,B98.5,77
union4animal,"Boycott PyeongChang 2018 Winter Olympics in South Korea, A Dog Eating Nation! - Signez la pétit... https://t.co/o9W0BRYgr6 via @ChangeFrance",carole,20
antidopaje,"RT @DominguezCJorge: PYEONGCHANG | Winter Olympics in fresh drug scandal with hundreds of stars dodging doping bans.

(Via @TheSun)

#dopin…",Anti-Dopaje 💉,5
dimplesmonster,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",고맙다 SEVENTEEN,14
mrs_viveiros,RT @rlstudentcounci: This Friday is Team Canada day as the 2018 Winter Olympics begin! Show your Olympic spirit by sporting Canada gear or…,Mrs Viveiros,1
FuWoolBonBon,"RT @allyjung: That tiny, almost invisible dot on the right in this ""unified Korea"" flag, shown in a recent ice hockey match between Sweden…",fuku,6
JeffRichgels,RT @madisondotcom: Meet the Wisconsin athletes competing in the 2018 Winter Olympics https://t.co/Qrx9HfZemU,Jeff Richgels,93
IanSeign,"RT @Revolvermag: See snowboarder Shaun White shred to Black Sabbath's ""Iron Man"" in new commercial for Winter Olympics https://t.co/pgaMCdl…",Ian.Seign,2
pamdon18,"RT @Koreandogs: Please share!  ""We have been deceived about dog meat."" https://t.co/KsJzQ1c5p1 via @Change",Pamela Doney,0
SeanFAQ,"20 years later, a look back at the thrills and spills of the 1998 Winter Olympics https://t.co/TRdNzDectj",Sean FAQ,97
grieco_77,"RT @NFLRT: After winning Super Bowl MVP, Nick Foles has turned his attention towards the Winter Olympics https://t.co/PuMeceQnpH",Michael,0
YamashitaRyan,so the winter olympics opening ceremony is at 3 AM..... cool,Ryan California,1
pamdon18,"RT @Koreandogs: Boycott PyeongChang 2018 Winter Olympics in South Korea, A Dog Eating Nation! - Sign the Petition! https://t.co/QsF1vyXjlq…",Pamela Doney,0
theamandabatty,"The olympics are coming this week, I guess, and instead of cheering on all of the (white) golden children, I'm gonn… https://t.co/sWXqT8NQFa",Amanda Batty,123
larughh,"issue: ice crying

-summer olympics: none
-winter olympics: yes, plenty",Lard,0
KudzaiPfuwai,RT @nytimes: The Winter Olympics are coming. NBC emphasized this on Super Bowl Sunday. https://t.co/FQOouCcOWW,Kudzaishe Pfuwai,3
Netweather,.@PyeongChang2018  - Chill for Winter Olympics Opening ceremony in South Korea https://t.co/ySZzAXxy8q #Netwx,Netweather.tv,268
soompi,#Taecyeon To Join #2PM For Performance As Full Group At Pyeongchang Winter Olympics https://t.co/v3MQ7mYO1K https://t.co/ipQDNZFMXu,Soompi | #SoompiAwards,5499
joshrogin,"Breaking: Vice President Pence will bring Fred Warmbier, father of Otto Warmbier, as his personal guest to the Wint… https://t.co/PbqFE01Ug4",Josh Rogin,3441
SBNation,"🥇3 days: Winter Olympics
🏀55 days: Women's NCAA tourney final
🏀56 days: Men's NCAA tourney final
⛳️59 days: Masters… https://t.co/Aj18dTKlZR",SB Nation,5258
aim_b2uty,"RT @kangdanielpd101: (VIDEO) Wanna One for Pyeongchang Winter Olympics 
평창 올림픽 무료셔틀 e-bus 
🍑 https://t.co/8H5vTz8440

 https://t.co/rqa34Ph…",อยากมีคังแดเนียลเป็นของตัวเองอะ ดั้ยรึป่ะ,1
CypherSec,"RT @CylanceInsider: Winter Olympics Online: Tips for Work Networks and Home Safety

https://t.co/VrrOsAzMrJ

@govcso #WinterOlympics #Pyeon…",CypherSec,23
VonaLarsen,Meet the inspiring women competing for team GB in the Winter Olympics https://t.co/w0JzBpmDU8 https://t.co/nbDcfNprAi,Vona Larsen,2
CelticCernunnos,"RT @Cat_Kapow: Sign PETITION More than 465,000 people have signed this #Petition against the barbaric #DogCatMeatTrade in #SouthKorea the l…",Celtic Cernunnos,82
TheDroneTrainer,Drone-catching drones to bolster security at this week’s Winter Olympics https://t.co/SPKz9AX2GH #drones #uav #dronetech #drone #Olympics,The Drone Trainer,62
32a3ad1e586243d,"RT @94_degrees: Why isn’t EXO the ambassadors of the pyeongchang Winter Olympics

#EXOL #iHeartAwards #BestFanArmy @weareoneEXO https://t.c…",Destia Widiastuti,0
_officiallykiko,"RT @NFLRT: After winning Super Bowl MVP, Nick Foles has turned his attention towards the Winter Olympics https://t.co/PuMeceQnpH",Kiko,4
SportsDietAust,NEW Sports Nutrition job posted. Login to view: https://t.co/qq1XXvAlMY,Sports Dietitians Australia,191
fourptzero,"20 years later, a look back at the thrills and spills of the 1998 Winter Olympics: We're… https://t.co/7hQh8dDlq3","FourPoint.Zero, Inc.",57
the_mantese,https://t.co/EK3mN5F4ta,Jose Jaimes,9
KellyBoldt,How Much Money Will Canada Athletes Get for a Gold Medal at 2018 Winter Olympics? https://t.co/l08t96Wcv0,Kelly Boldt,32
coleb86,Preparation for working on the Winter Olympics is in full swing... https://t.co/2JSQGCs87l,Bethany Cole,43
mrsfrcka,Cheering on the Special Olympics team as they will compete in the winter games tomorrow. Love the school spirit and… https://t.co/cYZUWCNQ1U,Laura Frcka,27
the_mantese,https://t.co/Y2zXRLiSXp,Jose Jaimes,9
thenelipas,RT @EmbassyofRussia: Russian MFA Spokesperson #Zakharova: IOC has refused to allow 15 Russian athletes coaches to participate in the 2018 W…,Peters,32
exoluvsehun,RT @KoreanUpdates: #EXO #Baekhyun &amp; #VIXX will be performing at IOC meeting session tonight prior to Pyeongchang Winter Olympics opening th…,yulia,2
BrianToddCNN,"VP Mike Pence is heading to the Winter Olympics- U.S. officials say, to counter Kim Jong Un's propaganda and call a… https://t.co/uJDGqMY4r8",Brian Todd,407
adamDschultz,"RT @SBNation: 🥇3 days: Winter Olympics
🏀55 days: Women's NCAA tourney final
🏀56 days: Men's NCAA tourney final
⛳️59 days: Masters
💪62 days:…",Adam Schultz,2
xtomatox,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",LunaPark,1
VIPortalINC,"20 years later, a look back at the thrills and spills of the 1998 Winter Olympics https://t.co/EKTX54bVkE https://t.co/x7KXXcPNBC",VIPortal INC,25
karinmckenny,@scottishcurling I’d be curious to know what your split is. I’d not associate curling as a particularly private-sch… https://t.co/3uHkaQiCMp,Karin Mckenny,5
Mydragonn,"RT @94_degrees: Why isn’t EXO the ambassadors of the pyeongchang Winter Olympics

#EXOL #iHeartAwards #BestFanArmy @weareoneEXO https://t.c…",Boo🐰,18
DeniseRodgers71,RT @Danielle__Ellis: Keep your eyes peeled for a local artist's work at the upcoming Winter Olympic Games. https://t.co/WQcEXm1WHj,Redz Rulz,0
duplexdiner,"Coming up #Friday: Direct from PyeongChang, South Korea, the XXIII Winter Olympics kick off with an historic Openin… https://t.co/6wlU4xVCxh",DuplexDiner,74
OneCoin4u,United States seeing uptick in diversity for Winter Olympics team https://t.co/5KOMqi02UC https://t.co/PR28PsSeuz,Tapanee J,54
WakeUpPHCity,"#Sports Winter Olympics-Bound Bobsled Team Speak On Nigerian Jollof, Fashion, Celebrity Status And Medal Hopes In K… https://t.co/3woni3dW6I",Wake Up PortHarcourt,611
CylanceInsider,"Winter Olympics Online: Tips for Work Networks and Home Safety

https://t.co/VrrOsAzMrJ

@govcso #WinterOlympics… https://t.co/yCa3UWqlNR",CylanceInsider,1
koogle_tv,"North Korean Set To Send High Level Delegation To Winter Olympics
https://t.co/OtFIwTbxgI https://t.co/2kwg69KvTE",KoogleTV,312
LoveMusicEMag,RT @SNFonNBC: .@ShaunWhite has been waiting for redemption for four years. Here’s the #WinterOlympics #SuperBowl ad you saw on NBC! #BestOf…,Love Music eMag®,14
iTortureYou,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",A T N  ツ,3
cristiller,"RT @SBNation: 🥇3 days: Winter Olympics
🏀55 days: Women's NCAA tourney final
🏀56 days: Men's NCAA tourney final
⛳️59 days: Masters
💪62 days:…",Cris Tiller,35
zatheteacher,"20 years later, a look back at the thrills and spills of the 1998 Winter Olympics https://t.co/UAZ42wR9S9",Zafar Ali,77
JakeDWerm,@DanBarreiroKFAN Floor to ceiling Winter Olympics coverage please...until the @Twins win the Darvish sweepstakes. T… https://t.co/r2HNeKQSeP,the werm,2
YourGACountry,2018 Winter Olympics: Who is John Henry Krueger? https://t.co/XWeYoupJXj,Your Georgia Country,10
Clandestin101,RT @mashable: A look back at the thrills and spills of the 1998 Winter Olympics https://t.co/KUJmDMA9rq https://t.co/4yyB9vUq5h,Pierre LOPPY,47
CourtneyFiorini,"RT @SBNation: 🥇3 days: Winter Olympics
🏀55 days: Women's NCAA tourney final
🏀56 days: Men's NCAA tourney final
⛳️59 days: Masters
💪62 days:…",Courtney Fiorini,42
Hierkaufich,"20 years later, a look back at the thrills and spills of the 1998 Winter Olympics https://t.co/qfzIIMQnbJ",🇩🇪 Hierkaufichein,527
Redlizzy1,Winter Olympics - 5th Feb https://t.co/tju44UGR4g,Elizabeth V,25
Bushie_40,Well...Gonna go for some wins in the new skin.  Almost wish we had a snow map to go along with the winter olympics.  Live Now!,Bushie_40,1
Al__S,This thread will be good. More than most sporting events the winter Olympics are rooted in the Alps and Scandinavia… https://t.co/8zsjSzksIh,Al,88
jung___kookieee,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",A,0
FabienMalbet,"RT @ISFsports: Before @pyeongchang2018, @VilledeGrenoble will relive the 1968 @Olympics &amp; host #ISFwintergames, one of the events taking pl…",Fabien Malbet,188
Ap05398561,RT @EmbassyofRussia: Russian MFA Spokesperson #Zakharova: IOC has refused to allow 15 Russian athletes coaches to participate in the 2018 W…,Ap AKA Анжелика 8,0
micdropbwii,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",🐯타고야기🐨,3
harriscsmith,RT @Adam_Cesare: Rumor: DEATH WISH to be secretly released on Seeso directly following the Winter Olympics closing ceremonies.,dreamweapon,23
EritreaRT1,"RT @awet_nihafash: Shannon-Ogbani Abeda to represent #Eritrea at next  Winter Olympics in Pyeongchang, South Korea. 🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷#…",[Re]tweetEritrea,698
davefbarden,"RT @OWI_AUS: BBC Sport - Winter Olympics: Harley Windsor, the Indigenous Australian ice skater breaking barriers https://t.co/3ARYgbUFfs",David Barden,19
kaycee2nd,"RT @Star_NG: This is the Making of History! The Nigerian Bobsled and Skeleton team will represent Nigeria at the 2018 Winter Olympics!
A fi…",Kenechukwu,12
CAS1AN0,RT @CNNPolitics: US Vice President Pence heads to the #PyeongChang2018 Winter Olympics to throw shade on the North Korean “charade” https:/…,Angelo Casiano,24
TAMMYtaec,"RT @Taecyeon_Today: [INFO] Taecyeon’s schedule for the 2018 Pyeongchang Winter Olympics:

Feb 14: Feast of the world music show MC
Feb 15:…",Tammy  (토모코),4
awet_nihafash,"Shannon-Ogbani Abeda to represent #Eritrea at next  Winter Olympics in Pyeongchang, South Korea. 🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷🇪🇷… https://t.co/FIb3ZBf6ak",MESFIN  ERITREA,48
CentipedeLove,RT @KoreanUpdates: #EXO #Baekhyun &amp; #VIXX will be performing at IOC meeting session tonight prior to Pyeongchang Winter Olympics opening th…,🔥 team park-byun™️ ✨,0
juliezisman,"RT @dlynnesampson: With the Winter Olympics starting this week, now is a good time for finance teams to look at new ways to sharpen their c…",Julie Zisman,511
georgebaily,Security at this year's Olympics will include drones that catch other drones using nets https://t.co/a1OKawvpdJ (wh… https://t.co/mhHnLhTnR5,George Baily,117
AVKingJames,RT @alexnpress: can’t wait to devote myself to obsessively watching the winter olympics for no discernible reason,Juney,35
tokiedamasakazu,RT @hangorinnokai: 7 Reasons Why You Should Oppose the PyeongChang Winter Olympics https://t.co/L31Owuma70 It is our strong hope to build a…,時枝正和,11
zacrell_15,"RT @vkookbiasedd: ""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Coca-Cola and the representative artist we will be meeting…",Jimin's Yippee,1
tselsmark,"RT @Cat_Kapow: Sign PETITION More than 465,000 people have signed this #Petition against the barbaric #DogCatMeatTrade in #SouthKorea the l…",Tina Selsmark,63
AlchemistGira,"Winter Olympics soon
Coolio",Alchemist Gira,49
EMCLimited,"Frimpong set to make Winter Olympics history in Pyeongchang

https://t.co/3rwcMgsZ9B

Sent via @updayUK",EMC,49
Affutee,"RT @SBNation: 🥇3 days: Winter Olympics
🏀55 days: Women's NCAA tourney final
🏀56 days: Men's NCAA tourney final
⛳️59 days: Masters
💪62 days:…",Sinner 🎈,7
TTae21,"RT @ARMYIndonesiaa: Untuk Pyeongchang Winter Olympics 2018
Coca-Cola mengeluarkam advertisement video..
dan tulisan untuk BTS : 대한민국 비주얼 아티…",TaeTae21,0
iamvega1982,RT @Jambobsled: It is 30 years since a band of Jamaicans lit up the Winter Olympics by debunking cultural clichés and crashing at 90mph. No…,Gustavo Vega,192
blue_skx,"RT @crystalcyphers: [notice!]
we have four more days until the pyeongchang winter olympics! bangtan will start being really active most lik…",Peachy Sky 🌫,26
rajandelman,RT @alexnpress: can’t wait to devote myself to obsessively watching the winter olympics for no discernible reason,rachel andelman,52
yoshii_vip,RT @baobobaek: EXO will be the one to represent South Korea to the world. EXO represents South Korea for 2018 Pyeongchang Winter Olympics.…,Yehet･゜ﾟ･*~(＾∇＾),0
ahmad31789992,"RT @CGTNOfficial: South Korea bans 36,000 foreigners from entering for Winter Olympics. Follow us for more.",toha ahmad,0
SimonPearson16,RT @gaystarnews: Meet the #LGBT athletes competing at the #WinterOlympics 2018 https://t.co/cf4zVRiyOo https://t.co/uXB3ApYUBn,Simon Pearson,3
Krhammar,Winter Olympics - 5th Feb https://t.co/p7WKCqrWu2,KristofferHammargren,1
onqnielhwan,RT @KoreanUpdates: #EXO #Baekhyun &amp; #VIXX will be performing at IOC meeting session tonight prior to Pyeongchang Winter Olympics opening th…,FΔG,8
the_mantese,https://t.co/CfJzKHAIN5,Jose Jaimes,9
hali_wilkinson,I look forward to the winter olympics every year!!!😁 &amp; no I won't be texting ANYONE back when it's on🙅🏽 https://t.co/AB51MZYBCA,Hali Wilkinson,2
SocialINDetroit,[AHL: Griffins Hockey] - EIGHT FORMER GRIFFINS TO PARTICIPATE IN 2018 WINTER OLYMPICS https://t.co/aUU9Nl65Dx,Social In Detroit,698
nrlnabilahhh,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",Teudoongie💜,0
XxThaTankkxX,"RT @NFLRT: After winning Super Bowl MVP, Nick Foles has turned his attention towards the Winter Olympics https://t.co/PuMeceQnpH",Jacob Hanson,1
18dMedia,When Is The Winter Olympics Opening Ceremony? https://t.co/jtMqdMeTHG https://t.co/TxFBysfxb1,18d.Media,40
lakes1947,"RT @USParalympics: With #PyeongChang2018 just over one month away, Brenna Huckaby balances training AND being a mom. 💯

👉 https://t.co/Fwdq…",gloria figueroa,65
512JORGE,RT @intel: Don’t just cheer for your team–– cheer with them. VR is coming to the Olympic Winter Games. Get ready at https://t.co/bywo8DkxKz…,Jorge (George),14
Ase_Bye,"RT @H2Bjorn: It has been reported that for the 2022 Olympics, Zhangjiakou city has awarded contracts for 74 FCEV buses. Beiqi Foton Motor C…",Åse Bye,28
PirateParty808,"RT @yawnbox: INTEL STILL HAS NOT RELEASED MICROCODE UPDATES

GLAD THEIR FOURTH QTR EARNINGS, CORP OFFICER PROMOTIONS AND WINTER OLYMPICS AR…",Pirate Party☠️Weekly,1028
